1993-147149-0000	HOW INFINITE THE WEALTH OF LOVE AND HOPE GARNERED IN THESE SAME TINY TREASURE HOUSES AND OH
2506-11267-0004	I HAVE SEEN SNOBS IN PINK COATS AND HUNTING BOOTS SCOURING OVER THE CAMPAGNA OF ROME AND HAVE HEARD THEIR OATHS AND THEIR WELL KNOWN SLANG IN THE GALLERIES OF THE VATICAN AND UNDER THE SHADOWY ARCHES OF THE COLOSSEUM
2506-11267-0005	MY LADY MARCHIONESS COMES ON BOARD LOOKS ROUND WITH THAT HAPPY AIR OF MINGLED TERROR AND IMPERTINENCE WHICH DISTINGUISHES HER LADYSHIP AND RUSHES TO HER CARRIAGE FOR IT IS IMPOSSIBLE THAT SHE SHOULD MINGLE WITH THE OTHER SNOBS ON DECK
2506-11267-0006	THERE SHE SITS AND WILL BE ILL IN PRIVATE
2506-11267-0007	THE STRAWBERRY LEAVES ON HER CHARIOT PANELS ARE ENGRAVED ON HER LADYSHIP'S HEART
2506-11267-0008	AND DAVIS YOU'D BEST TAKE THE PISTOL CASE INTO THE CABIN
2506-11267-0009	LOOK AT HONEST NATHAN HOUNDSDITCH AND HIS LADY AND THEIR LITTLE SON
2506-11267-0010	WHAT A NOBLE AIR OF BLAZING CONTENTMENT ILLUMINATES THE FEATURES OF THOSE SNOBS OF EASTERN RACE
2506-11267-0011	WHAT A TOILETTE HOUNDSDITCH'S IS
2506-11267-0012	HE WILL NEVER SPARE HIMSELF ANY CHEAP ENJOYMENT
2506-11267-0013	I HAVE SAID BEFORE I LIKE TO LOOK AT THE PEOPLES ON THEIR GALA DAYS THEY ARE SO PICTURESQUELY AND OUTRAGEOUSLY SPLENDID AND HAPPY
2506-11267-0014	YONDER COMES CAPTAIN BULL SPICK AND SPAN TIGHT AND TRIM WHO TRAVELS FOR FOUR OR SIX MONTHS EVERY YEAR OF HIS LIFE WHO DOES NOT COMMIT HIMSELF BY LUXURY OF RAIMENT OR INSOLENCE OF DEMEANOUR BUT I THINK IS AS GREAT A SNOB AS ANY MAN ON BOARD
2506-11267-0015	BULL PASSES THE SEASON IN LONDON SPONGING FOR DINNERS AND SLEEPING IN A GARRET NEAR HIS CLUB
2506-11267-0016	SEE HE IS UP TO OLD CARABAS ALREADY I TOLD YOU HE WOULD
2506-11267-0017	THAT BROAD SHOULDERED BUCK WITH THE GREAT WHISKERS AND THE CLEANED WHITE KID GLOVES IS MISTER PHELIM CLANCY OF POLDOODYSTOWN HE CALLS HIMSELF MISTER DE CLANCY HE ENDEAVOURS TO DISGUISE HIS NATIVE BROGUE WITH THE RICHEST SUPERPOSITION OF ENGLISH AND IF YOU PLAY AT BILLIARDS OR ECARTE WITH HIM THE CHANCES ARE THAT YOU WILL WIN THE FIRST GAME AND HE THE SEVEN OR EIGHT GAMES ENSUING
2506-11267-0018	THE NEXT PERSON IS BUT HARK
2506-11278-0000	WHEN A GROSS INSTANCE OF SNOBBISHNESS HAPPENS WHY SHOULD NOT THE INDIGNANT JOURNALIST CALL THE PUBLIC ATTENTION TO THAT DELINQUENCY TOO
2506-11278-0001	HOW FOR INSTANCE COULD THAT WONDERFUL CASE OF THE EARL OF MANGELWURZEL AND HIS BROTHER BE EXAMINED IN THE SNOBBISH POINT OF VIEW
2506-11278-0002	ALL WE REQUIRE IS THAT A MAN SHOULD BE RECOMMENDED TO US BY THE EARL OF MANGELWURZELSHIRE
2506-11278-0003	O YOU PRIDE OF ALL SNOBLAND
2506-11278-0004	O YOU CRAWLING TRUCKLING SELF CONFESSED LACKEYS AND PARASITES
2506-11278-0005	IT WAS HER SNOBBISH SENTIMENT THAT MISLED HER AND MADE HER VANITIES A PREY TO THE SWINDLING FORTUNE TELLER
2506-11278-0006	HOW WOULD YOU ACCOUNT FOR THE PRODIGIOUS BENEVOLENCE EXERCISED TOWARDS THE INTERESTING YOUNG FRENCH LADY
2506-11278-0007	THE HONEST BOARDING HOUSE PEOPLE WERE AT HER FEET AT ONCE
2506-11278-0008	GOOD HONEST SIMPLE LORD LOVING CHILDREN OF SNOBLAND
2506-11278-0009	FINALLY THERE WAS THE CASE OF THE RIGHT HONOURABLE MISTER VERNON AT YORK
2506-11278-0010	THE RIGHT HONOURABLE WAS THE SON OF A NOBLEMAN AND PRACTISED ON AN OLD LADY
2506-11278-0011	THEN HE CAST HIS NETS OVER A FAMILY OF FATHER MOTHER AND DAUGHTERS ONE OF WHOM HE PROPOSED TO MARRY
2506-11278-0012	ONE DAY THE TRAITOR FLED WITH A TEAPOT AND A BASKETFUL OF COLD VICTUALS
2506-11278-0013	IT WAS THE RIGHT HONOURABLE WHICH BAITED THE HOOK WHICH GORGED ALL THESE GREEDY SIMPLE SNOBS
2506-11278-0014	WOULD THEY HAVE BEEN TAKEN IN BY A COMMONER
2506-11278-0015	ALAS AND ALAS WHAT MORTAL MAN THAT SPEAKS THE TRUTH CAN HOPE FOR SUCH A LANDLADY
2506-11278-0016	AND YET ALL THESE INSTANCES OF FOND AND CREDULOUS SNOBBISHNESS HAVE OCCURRED IN THE SAME WEEK'S PAPER WITH WHO KNOWS HOW MANY SCORE MORE
2506-11278-0017	WE ARE THREE SISTERS FROM SEVENTEEN TO TWENTY TWO
2506-11278-0018	WE ARE JUST THE SAME TO PERSONS WITH A HANDLE TO THEIR NAME AS TO THOSE WITHOUT IT
2506-11278-0019	IF YOU DO I CANNOT HELP IT BUT I AM OF A SANGUINE DISPOSITION AND ENTERTAIN A LINGERING HOPE
2506-11278-0020	EXCUSE THIS SCRAWL BUT I ALWAYS WRITE HEADLONG
2506-11278-0021	WE NEVER WRITE ON PERFUMED PAPER IN SHORT I CAN'T HELP THINKING THAT IF YOU KNEW US YOU WOULD NOT THINK US SNOBS
2506-11278-0022	I SHALL HAVE A BLACK CRAPE ROUND MY WHITE HAT AND MY USUAL BAMBOO CANE WITH THE RICHLY GILT KNOB
2506-11278-0023	I AM SORRY THERE WILL BE NO TIME TO GET UP MOUSTACHES BETWEEN NOW AND NEXT WEEK
2506-11278-0024	FROM SEVENTEEN TO TWO AND TWENTY YE GODS WHAT AGES
2506-11278-0025	DEAR YOUNG CREATURES I CAN SEE YOU ALL THREE
2506-11278-0026	SEVENTEEN SUITS ME AS NEAREST MY OWN TIME OF LIFE BUT MIND I DON'T SAY TWO AND TWENTY IS TOO OLD
2506-11278-0027	NO NO AND THAT PRETTY ROGUISH DEMURE MIDDLE ONE
2506-11278-0028	PEACE PEACE THOU SILLY LITTLE FLUTTERING HEART
2506-11278-0029	YOU SNOBS DEAR YOUNG LADIES
2506-11278-0030	I WILL PULL ANY MAN'S NOSE WHO SAYS SO
2506-11278-0031	THERE IS NO HARM IN BEING OF A GOOD FAMILY
2506-11278-0032	YOU CAN'T HELP IT POOR DEARS WHAT'S IN A NAME
2506-11278-0033	THAT VERY CONFIDENCE SAVOURS OF ARROGANCE AND TO BE ARROGANT IS TO BE A SNOB
2506-11278-0034	BUT ARE THERE NO KINDLY NATURES NO TENDER HEARTS NO SOULS HUMBLE SIMPLE AND TRUTH LOVING
2506-11278-0035	PONDER WELL ON THIS QUESTION SWEET YOUNG LADIES
2506-13150-0000	PRAY CAPTAIN QUOTH I AS I WAS GOING DOWN INTO THE CABIN IS A MAN NEVER OVERTAKEN BY DEATH IN THIS PASSAGE
2506-13150-0001	WHY THERE IS NOT TIME FOR A MAN TO BE SICK IN IT REPLIED HE WHAT A CURSED LYAR FOR I AM SICK AS A HORSE QUOTH I ALREADY WHAT A BRAIN UPSIDE DOWN HEY DAY
2506-13150-0002	SICK SICK
2506-13150-0003	SICK SICK
2506-13150-0004	WHEN SHALL WE GET TO LAND
2506-13150-0005	THE WIND CHOPP'D ABOUT
2506-13150-0006	S'DEATH THEN I SHALL MEET HIM FULL IN THE FACE
2506-13150-0007	CAPTAIN QUOTH SHE FOR HEAVEN'S SAKE LET US GET ASHORE
2506-13150-0008	WAS NOT DEMOCRITUS WHO LAUGHED TEN TIMES MORE THAN I TOWN CLERK OF ABDERA
2506-13150-0009	NAY IF YOU DON'T BELIEVE ME YOU MAY READ THE CHAPTER FOR YOUR PAINS
2506-169427-0000	INTEREST HOWEVER STILL RUNS ON IN BOTH CASES THE PERIODICAL OR ACCIDENTAL PAYMENTS OF IT JUST SERVING TO KEEP THE MEMORY OF THE AFFAIR ALIVE TILL AT LENGTH IN SOME EVIL HOUR POP COMES THE CREDITOR UPON EACH AND BY DEMANDING PRINCIPAL UPON THE SPOT TOGETHER WITH FULL INTEREST TO THE VERY DAY MAKES THEM BOTH FEEL THE FULL EXTENT OF THEIR OBLIGATIONS
2506-169427-0001	AS THE READER FOR I HATE YOUR IFS HAS A THOROUGH KNOWLEDGE OF HUMAN NATURE I NEED NOT SAY MORE TO SATISFY HIM THAT MY HERO COULD NOT GO ON AT THIS RATE WITHOUT SOME SLIGHT EXPERIENCE OF THESE INCIDENTAL MEMENTOS
2506-169427-0002	TO SPEAK THE TRUTH HE HAD WANTONLY INVOLVED HIMSELF IN A MULTITUDE OF SMALL BOOK DEBTS OF THIS STAMP WHICH NOTWITHSTANDING EUGENIUS'S FREQUENT ADVICE HE TOO MUCH DISREGARDED THINKING THAT AS NOT ONE OF THEM WAS CONTRACTED THRO ANY MALIGNANCY BUT ON THE CONTRARY FROM AN HONESTY OF MIND AND A MERE JOCUNDITY OF HUMOUR THEY WOULD ALL OF THEM BE CROSS'D OUT IN COURSE
2506-169427-0003	EUGENIUS WOULD NEVER ADMIT THIS AND WOULD OFTEN TELL HIM THAT ONE DAY OR OTHER HE WOULD CERTAINLY BE RECKONED WITH AND HE WOULD OFTEN ADD IN AN ACCENT OF SORROWFUL APPREHENSION TO THE UTTERMOST MITE
2506-169427-0004	WHAT INCLINED EUGENIUS TO THE SAME OPINION WAS AS FOLLOWS
2506-169427-0005	YORICK FOLLOWED EUGENIUS WITH HIS EYES TO THE DOOR HE THEN CLOSED THEM AND NEVER OPENED THEM MORE
2506-169427-0006	ALAS POOR YORICK
3663-172005-0000	THE FAWN HAD TAKEN HIS MORNING MEAL AND NOW LAY CURLED UP ON A BED OF MOSS
3663-172005-0001	WHENEVER THE FAWN CAUGHT UP HE WAS QUITE CONTENT TO FRISK ABOUT
3663-172005-0002	THE DANGER WAS CERTAIN NOW IT WAS NEAR
3663-172005-0003	THE HOUNDS HAD STRUCK HER TRAIL WHERE SHE TURNED AND THE FAWN WAS SAFE
3663-172005-0004	ONE WAS ROWING THE OTHER HAD A GUN IN HIS HAND WHAT SHOULD SHE DO
3663-172005-0005	HER TIRED LEGS COULD NOT PROPEL THE TIRED BODY RAPIDLY
3663-172005-0006	THE DOE SAW THE BOAT NEARING HER
3663-172005-0007	IN A MOMENT MORE THE BOAT WAS ON HER AND THE MAN AT THE OARS HAD LEANED OVER AND CAUGHT HER
3663-172528-0000	I WAS TORMENTED BY THIRST BUT HAD ABSTAINED FROM DRINKING FOR MANY DAYS ACCORDING TO THE DOCTORS ORDERS
3663-172528-0001	THAT OLD MAN CEASED TO GIVE SO MUCH ANNOYANCE YET SOMETIMES HE APPEARED TO ME IN DREAMS
3663-172528-0002	FELICE HAD GIVEN THEM ORDERS NOT TO SPEAK TO ME OF THIS
3663-172528-0003	THIS MAID HAD STOLEN FROM ME CERTAIN LITTLE THINGS OF SOME IMPORTANCE AND IN HER FEAR OF BEING DETECTED SHE WOULD HAVE BEEN VERY GLAD IF I HAD DIED
3663-172528-0004	ACCORDINGLY SHE ALLOWED ME TWICE TO TAKE AS MUCH AS I COULD OF THE WATER SO THAT IN GOOD EARNEST I SWALLOWED MORE THAN A FLASK FULL ONE I THEN COVERED MYSELF AND BEGAN TO SWEAT AND FELL INTO A DEEP SLEEP
3663-172528-0005	THEY SAY THAT MY POOR FRIEND WAS ON THE POINT OF FALLING TO THE GROUND SO GRIEVED WAS HE TO HEAR THIS
3663-172528-0006	AFTERWARDS HE TOOK AN UGLY STICK AND BEGAN TO BEAT THE SERVING GIRL WITH ALL HIS MIGHT SHOUTING OUT AH TRAITRESS YOU HAVE KILLED HIM FOR ME THEN
3663-172528-0007	SHE MAY INDEED HAVE SAVED MY LIFE SO LEND ME A HELPING HAND FOR I HAVE SWEATED AND BE QUICK ABOUT IT
3663-172528-0008	FELICE RECOVERED HIS SPIRITS DRIED AND MADE ME COMFORTABLE AND I BEING CONSCIOUS OF A GREAT IMPROVEMENT IN MY STATE BEGAN TO RECKON ON RECOVERY
3663-172528-0009	JUST THEN THE OTHER DOCTOR BERNARDINO PUT IN HIS APPEARANCE WHO AT THE BEGINNING OF MY ILLNESS HAD REFUSED TO BLEED ME
3663-172528-0010	MAESTRO FRANCESCO THAT MOST ABLE MAN EXCLAIMED OH POWER OF NATURE
3663-172528-0011	SHE KNOWS WHAT SHE REQUIRES AND THE PHYSICIANS KNOW NOTHING
3663-172528-0012	THAT SIMPLETON MAESTRO BERNARDINO MADE ANSWER SAYING IF HE HAD DRUNK ANOTHER BOTTLE HE WOULD HAVE BEEN CURED UPON THE SPOT
3663-172528-0013	AFTERWARDS HE TURNED TO ME AND ASKED IF I COULD HAVE DRUNK MORE WATER
3663-172528-0014	I ANSWERED NO BECAUSE I HAD ENTIRELY QUENCHED MY THIRST
3663-172528-0015	IN LIKE MANNER SHE WAS ASKING FOR WHAT SHE WANTED WHEN THE POOR YOUNG MAN BEGGED YOU TO BLEED HIM
3663-172528-0016	IF YOU KNEW THAT HIS RECOVERY DEPENDED UPON HIS DRINKING TWO FLASKS OF WATER WHY DID YOU NOT SAY SO BEFORE
3663-172528-0017	YOU MIGHT THEN HAVE BOASTED OF HIS CURE
3663-172528-0018	AT THESE WORDS THE WRETCHED QUACK SULKILY DEPARTED AND NEVER SHOWED HIS FACE AGAIN
3663-172528-0019	THE VERY EVENING I WAS TAKEN WITH GREAT PRECAUTIONS IN A CHAIR WELL WRAPPED UP AND PROTECTED FROM THE COLD
3663-172528-0020	DO NOT PERMIT HIM ANY IRREGULARITIES FOR THOUGH HE HAS ESCAPED THIS TIME ANOTHER DISORDER NOW WOULD BE THE DEATH OF HIM
3663-172528-0021	THEN HE TURNED TO ME AND SAID MY BENVENUTO BE PRUDENT COMMIT NO EXCESSES AND WHEN YOU ARE QUITE RECOVERED I BEG YOU TO MAKE ME A MADONNA WITH YOUR OWN HAND AND I WILL ALWAYS PAY MY DEVOTIONS TO IT FOR YOUR SAKE
3663-172528-0022	SO I MADE MY MIND UP AND PREPARED TO TRAVEL
3663-172528-0023	THAT DAY MANY FRIENDS CAME TO SEE ME AMONG OTHERS PIER LANDI WHO WAS THE BEST AND DEAREST FRIEND I EVER HAD
3663-172528-0024	NEXT DAY THERE CAME A CERTAIN NICCOLO DA MONTE AGUTO WHO WAS ALSO A VERY GREAT FRIEND OF MINE
3663-172528-0025	I HAD HARBOURED HIM IN ROME AND PROVIDED FOR HIS COSTS WHILE HE HAD TURNED MY WHOLE HOUSE UPSIDE DOWN FOR THE MAN WAS SUBJECT TO A SPECIES OF DRY SCAB WHICH HE WAS ALWAYS IN THE HABIT OF SCRATCHING WITH HIS HANDS
3663-172528-0026	MEANWHILE THAT ABLE PHYSICIAN FRANCESCO DA MONTE VARCHI ATTENDED TO MY CURE WITH GREAT SKILL
3663-172528-0027	THERE THEY SEATED ME TO WAIT UNTIL THE DUKE WENT BY
3663-172528-0028	MANY OF MY FRIENDS AT COURT CAME UP TO GREET ME AND EXPRESSED SURPRISE THAT I HAD UNDERGONE THE INCONVENIENCE OF BEING CARRIED IN THAT WAY WHILE SO SHATTERED BY ILLNESS THEY SAID THAT I OUGHT TO HAVE WAITED TILL I WAS WELL AND THEN TO HAVE VISITED THE DUKE
3663-172528-0029	AT THESE WORDS MAESTRO AGOSTINO THE DUKES TAILOR MADE HIS WAY THROUGH ALL THOSE GENTLEMEN AND SAID IF THAT IS ALL YOU WANT TO KNOW YOU SHALL KNOW IT AT THIS VERY MOMENT
3663-172528-0030	GIORGIO THE PAINTER WHOM I HAVE MENTIONED HAPPENED JUST THEN TO PASS AND MAESTRO AGOSTINO EXCLAIMED THERE IS THE MAN WHO ACCUSED YOU NOW YOU KNOW YOURSELF IF IT BE TRUE OR NOT
3663-172528-0031	AS FIERCELY AS I COULD NOT BEING ABLE TO LEAVE MY SEAT I ASKED GIORGIO IF IT WAS TRUE THAT HE HAD ACCUSED ME
3663-172528-0032	HE DENIED THAT IT WAS SO AND THAT HE HAD EVER SAID ANYTHING OF THE SORT
3663-172528-0033	MAESTRO AGOSTINO RETORTED YOU GALLOWS BIRD
3663-172528-0034	DONT YOU KNOW THAT I KNOW IT FOR MOST CERTAIN
3663-172528-0035	GIORGIO MADE OFF AS QUICKLY AS HE COULD REPEATING THAT HE HAD NOT ACCUSED ME
3663-172528-0036	THEN AFTER A SHORT WHILE THE DUKE CAME BY WHEREUPON I HAD MYSELF RAISED UP BEFORE HIS EXCELLENCY AND HE HALTED
3663-172528-0037	THE DUKE GAZED AT ME AND MARVELLED I WAS STILL ALIVE AFTERWARDS HE BADE ME TAKE HEED TO BE AN HONEST MAN AND REGAIN MY HEALTH
3663-172528-0038	WHEN I REACHED HOME NICCOLO DA MONTE AGUTO CAME TO VISIT ME AND TOLD ME THAT I HAD ESCAPED ONE OF THE MOST DREADFUL PERILS IN THE WORLD QUITE CONTRARY TO ALL HIS EXPECTATIONS FOR HE HAD SEEN MY RUIN WRITTEN WITH INDELIBLE INK NOW I MUST MAKE HASTE TO GET WELL AND AFTERWARDS TAKE FRENCH LEAVE BECAUSE MY JEOPARDY CAME FROM A QUARTER AND A MAN WHO WAS ABLE TO DESTROY ME
3663-172528-0039	I ANSWERED THAT I HAD DONE NOTHING TO DISPLEASE HIM BUT THAT HE HAD INJURED ME AND TOLD HIM ALL THE AFFAIR ABOUT THE MINT
3663-172528-0040	HE REPEATED GET HENCE AS QUICKLY AS YOU CAN AND BE OF GOOD COURAGE FOR YOU WILL SEE YOUR VENGEANCE EXECUTED SOONER THAN YOU EXPECT
3663-172528-0041	I THE BEST ATTENTION TO MY HEALTH GAVE PIETRO PAGOLO ADVICE ABOUT STAMPING THE COINS AND THEN WENT OFF UPON MY WAY TO ROME WITHOUT SAYING A WORD TO THE DUKE OR ANYBODY ELSE
3663-172528-0042	YOU WANT THEM TO IMMORTALISE THAT FEROCIOUS TYRANT
3663-172528-0043	YOU HAVE NEVER MADE ANYTHING SO EXQUISITE WHICH PROVES YOU OUR INVETERATE FOE AND THEIR DEVOTED FRIEND AND YET THE POPE AND HE HAVE HAD IT TWICE IN MIND TO HANG YOU WITHOUT ANY FAULT OF YOURS
3663-172528-0044	IT WAS FIRMLY BELIEVED THAT DUKE ALESSANDRO WAS THE SON OF POPE CLEMENT
3663-172528-0045	MESSER FRANCESCO USED ALSO TO SAY AND SWEAR BY ALL HIS SAINTS THAT IF HE COULD HE WOULD HAVE ROBBED ME OF THE DIES FOR THAT MEDAL
3663-172528-0046	I RESPONDED THAT HE HAD DONE WELL TO TELL ME SO AND THAT I WOULD TAKE SUCH CARE OF THEM THAT HE SHOULD NEVER SEE THEM MORE
3663-172528-0047	I NOW SENT TO FLORENCE TO REQUEST LORENZINO THAT HE WOULD SEND ME THE REVERSE OF THE MEDAL
3663-172528-0048	NICCOLO DA MONTE AGUTO TO WHOM I HAD WRITTEN WROTE BACK SAYING THAT HE HAD SPOKEN TO THAT MAD MELANCHOLY PHILOSOPHER LORENZINO FOR IT HE HAD REPLIED THAT HE WAS THINKING NIGHT AND DAY OF NOTHING ELSE AND THAT HE WOULD FINISH IT AS SOON AS HE WAS ABLE
3663-172528-0049	NEVERTHELESS I WAS NOT TO SET MY HOPES UPON HIS REVERSE BUT I HAD BETTER INVENT ONE OUT OF MY OWN HEAD AND WHEN I HAD FINISHED IT I MIGHT BRING IT WITHOUT HESITATION TO THE DUKE FOR THIS WOULD BE TO MY ADVANTAGE
3663-172528-0050	I COMPOSED THE DESIGN OF A REVERSE WHICH SEEMED TO ME APPROPRIATE AND PRESSED THE WORK FORWARD TO MY BEST ABILITY
3663-172528-0051	THIS BEING SO AS HE WAS A FELLOW OF MUCH HUMOUR WE USED OFTEN TO LAUGH TOGETHER ABOUT THE GREAT CREDIT HE HAD GAINED
3663-172528-0052	I THEREFORE DISMOUNTED AT ONCE GOT MY FOWLING PIECE READY AND AT A VERY LONG RANGE BROUGHT TWO OF THEM DOWN WITH A SINGLE BALL
3663-172528-0053	I NEVER USED TO SHOOT WITH MORE THAN ONE BALL AND WAS USUALLY ABLE TO HIT MY MARK AT TWO HUNDRED CUBITS WHICH CANNOT BE DONE BY OTHER WAYS OF LOADING
3663-172528-0054	I LIFTED MY FOOT AND LET THE WATER RUN OUT THEN WHEN I HAD MOUNTED WE MADE HASTE FOR ROME
3915-57461-0000	WE HAVE SUCCEEDED IN AMASSING TWO HUNDRED OUNCES OF SILVER ENOUGH I TRUST TO ERECT A HANDSOME BRONZE FIGURE
3915-57461-0001	TO BE SURE IT SEEMS A SHAME YET IF I COULD STEAL THE MONEY THIS PRIEST IS BOASTING ABOUT I COULD LIVE AT EASE FOR THE REST OF MY DAYS AND SO HE BEGAN CASTING ABOUT HOW BEST HE MIGHT COMPASS HIS PURPOSE
3915-57461-0002	BUT THE PRIEST FAR FROM GUESSING THE DRIFT OF HIS COMRADE'S THOUGHTS JOURNEYED CHEERFULLY ON TILL THEY REACHED THE TOWN OF KUANA
3915-57461-0003	HERE THERE IS AN ARM OF THE SEA WHICH IS CROSSED IN FERRY BOATS THAT START AS SOON AS SOME TWENTY OR THIRTY PASSENGERS ARE GATHERED TOGETHER AND IN ONE OF THESE BOATS THE TWO TRAVELLERS EMBARKED
3915-57461-0004	WHEN THE BOATMEN AND PASSENGERS HEARD THE SPLASH AND SAW THE PRIEST STRUGGLING IN THE WATER THEY WERE AFRAID AND MADE EVERY EFFORT TO SAVE HIM BUT THE WIND WAS FAIR AND THE BOAT RUNNING SWIFTLY UNDER THE BELLYING SAILS SO THEY WERE SOON A FEW HUNDRED YARDS OFF FROM THE DROWNING MAN WHO SANK BEFORE THE BOAT COULD BE TURNED TO RESCUE HIM
3915-57461-0005	WHEN HE SAW THIS THE RONIN FEIGNED THE UTMOST GRIEF AND DISMAY AND SAID TO HIS FELLOW PASSENGERS THIS PRIEST WHOM WE HAVE JUST LOST WAS MY COUSIN HE WAS GOING TO KIYOTO TO VISIT THE SHRINE OF HIS PATRON AND AS I HAPPENED TO HAVE BUSINESS THERE AS WELL WE SETTLED TO TRAVEL TOGETHER
3915-57461-0006	NOW ALAS BY THIS MISFORTUNE MY COUSIN IS DEAD AND I AM LEFT ALONE
3915-57461-0007	HE SPOKE SO FEELINGLY AND WEPT SO FREELY THAT THE PASSENGERS BELIEVED HIS STORY AND PITIED AND TRIED TO COMFORT HIM
3915-57461-0008	THEN THE RONIN SAID TO THE BOATMEN
3915-57461-0009	WHAT THINK YOU GENTLEMEN ADDED HE TURNING TO THE OTHER TRAVELLERS
3915-57461-0010	THEY OF COURSE WERE ONLY TOO GLAD TO AVOID ANY HINDRANCE TO THEIR ONWARD JOURNEY AND ALL WITH ONE VOICE AGREED TO WHAT THE RONIN HAD PROPOSED AND SO THE MATTER WAS SETTLED
3915-57461-0011	WHEN AT LENGTH THEY REACHED THE SHORE THEY LEFT THE BOAT AND EVERY MAN WENT HIS WAY BUT THE RONIN OVERJOYED IN HIS HEART TOOK THE WANDERING PRIEST'S LUGGAGE AND PUTTING IT WITH HIS OWN PURSUED HIS JOURNEY TO KIYOTO
3915-57461-0012	FORTUNE FAVOURING HIS SPECULATIONS HE BEGAN TO AMASS GREAT WEALTH AND LIVED AT HIS EASE DENYING HIMSELF NOTHING AND IN COURSE OF TIME HE MARRIED A WIFE WHO BORE HIM A CHILD
3915-57461-0013	SINCE THEN ALL HAS GONE WELL WITH ME YET HAD I NOT BEEN POOR I HAD NEVER TURNED ASSASSIN NOR THIEF
3915-57461-0014	HE WOULD HAVE FLED INTO THE HOUSE BUT THE GHOST STRETCHED FORTH ITS WITHERED ARM AND CLUTCHING THE BACK OF HIS NECK SCOWLED AT HIM WITH A VINDICTIVE GLARE AND A HIDEOUS GHASTLINESS OF MIEN SO UNSPEAKABLY AWFUL THAT ANY ORDINARY MAN WOULD HAVE SWOONED WITH FEAR
3915-57461-0015	AT LENGTH UNDONE BY SUCH CEASELESS VEXATION TOKUBEI FELL ILL AND KEPT MUTTERING OH MISERY MISERY THE WANDERING PRIEST IS COMING TO TORTURE ME
3915-57461-0016	NOW IT CHANCED THAT THE STORY REACHED THE EARS OF A CERTAIN WANDERING PRIEST WHO LODGED IN THE NEXT STREET
3915-57461-0017	AND HIDING HIS HEAD UNDER THE COVERLET HE LAY QUIVERING ALL OVER
3915-57461-0018	THREE YEARS AGO AT THE KUANA FERRY YOU FLUNG ME INTO THE WATER AND WELL YOU REMEMBER IT
3915-57461-0019	HAPPILY CONTINUED THE PRIEST I HAD LEARNED TO SWIM AND TO DIVE AS A BOY SO I REACHED THE SHORE AND AFTER WANDERING THROUGH MANY PROVINCES SUCCEEDED IN SETTING UP A BRONZE FIGURE TO BUDDHA THUS FULFILLING THE WISH OF MY HEART
3915-57461-0020	ON MY JOURNEY HOMEWARDS I TOOK A LODGING IN THE NEXT STREET AND THERE HEARD OF YOUR MARVELLOUS AILMENT
3915-57461-0021	THINKING I COULD DIVINE ITS CAUSE I CAME TO SEE YOU AND AM GLAD TO FIND I WAS NOT MISTAKEN
3915-57461-0022	AND WOULD IT NOT ILL BECOME ME TO BEAR MALICE
3915-57461-0023	REPENT THEREFORE AND ABANDON YOUR EVIL WAYS
3915-57461-0024	TO SEE YOU DO SO I SHOULD ESTEEM THE HEIGHT OF HAPPINESS
3915-57461-0025	BE OF GOOD CHEER NOW AND LOOK ME IN THE FACE AND YOU WILL SEE THAT I AM REALLY A LIVING MAN AND NO VENGEFUL GOBLIN COME TO TORMENT YOU
3915-57461-0026	IN A FIT OF MADNESS I WAS TEMPTED TO KILL AND ROB YOU
3915-57461-0027	FORTUNE BEFRIENDED ME EVER AFTER BUT THE RICHER I GREW THE MORE KEENLY I FELT HOW WICKED I HAD BEEN AND THE MORE I FORESAW THAT MY VICTIM'S VENGEANCE WOULD SOME DAY OVERTAKE ME
3915-57461-0028	HAUNTED BY THIS THOUGHT I LOST MY NERVE TILL ONE NIGHT I BEHELD YOUR SPIRIT AND FROM THAT TIME FORTH FELL ILL
3915-57461-0029	BUT HOW YOU MANAGED TO ESCAPE AND ARE STILL ALIVE IS MORE THAN I CAN UNDERSTAND
3915-57461-0030	A GUILTY MAN SAID THE PRIEST WITH A SMILE SHUDDERS AT THE RUSTLING OF THE WIND OR THE CHATTERING OF A STORK'S BEAK A MURDERER'S CONSCIENCE PREYS UPON HIS MIND TILL HE SEES WHAT IS NOT
3915-98647-0000	EVERY WELL ORDERED JAPANESE HOME OF THE OLD FASHIONED KIND HAS ITS LITTLE SHRINE WHICH IS THE CENTRE OF THE RELIGIOUS LIFE OF THE HOUSE
3915-98647-0001	SHE IT IS WHO SETS THE RICE AND WINE BEFORE THE ANCESTRAL TABLETS WHO LIGHTS THE LITTLE LAMP EACH NIGHT AND WHO SEES THAT AT EACH FEAST DAY AND ANNIVERSARY SEASON THE PROPER FOOD IS PREPARED AND SET OUT FOR THE HOUSEHOLD GODS
3915-98647-0002	THESE MUST BE KEPT CAREFULLY BY THE MOTHER AS A SAFEGUARD AGAINST THE MANY EVILS THAT BESET CHILD LIFE
3915-98647-0003	VISITS TO NOTED TEMPLES BY RELATIVES AND FRIENDS OFTEN RESULT IN ADDITIONS TO THE CHILD'S COLLECTION
3915-98647-0004	ALL THESE ARE PUT TOGETHER BY THE CAREFUL MOTHER AND PRESERVED AS JEALOUSLY AS QUEEN ALTHEA KEPT THE CHARRED STICK THAT GOVERNED THE DESTINY OF HER SON
